id,naslov,datum izdaje,razvijalci,založniki,Ocena uporabnikov,Moby ocena,Ocena kritikov,žanri,perspektiva,gameplay,interface,setting,oznaka,tip medija,vhodne naprave,večigralski načini,št. offline igralcev,št. online igralcev,cena v dolarjih
96127,Super Mario Odyssey,2017/10/27,"[('Nintendo EPD', '24437')]","[('Nintendo Co., Ltd.', '1891'), ('Shenzhen Tencent Computer System Co., Ltd.', '48667')]",4.54,9.5,96,['Action'],['Behind view'],['Platform'],['Direct control'],['Fantasy'],Everyone 10+,"['Download', 'Game Card']","['Joy-Con', 'Nintendo Switch Pro Controller', 'VR Helmet/Headset']",['Same/Split-Screen'],NG,NG,/
150689,Baldur\u0027s Gate III,2020/10/06,"[('Larian Studios NV', '3377')]","[('Larian Studios NV', '3377')]",4.47,9.4,96,['Role-playing (RPG)'],['Diagonal-down'],[],"['Multiple units/characters control', 'Point and select']",['Fantasy'],Mature,['Download'],"['Gamepad', 'Keyboard', 'Mouse']","['Internet', 'LAN', 'Same/Split-Screen']",1-2,2-4,/
84595,The Legend of Zelda: Breath of the Wild,2017/03/03,"[('Nintendo EPD', '24437')]","[('Nintendo Co., Ltd.', '1891')]",4.52,9.4,96,['Action'],['Behind view'],"['Puzzle elements', 'RPG elements', 'Sandbox / open world']","['Direct control', 'Motion control']","['Fantasy', 'Post-apocalyptic', 'Sci-fi / futuristic']",Everyone 10+,"['Download', 'Wii U Optical Disc']","['GamePad', 'Wii U Pro Controller']",[],1,NG,/
141836,Persona 5: Royal,2019/10/31,"[('Atlus Co., Ltd.', '29077')]","[('Atlus Co., Ltd.', '29077'), ('SEGA Games Co., Ltd.', '12'), ('SEGA of America, Inc.', '2747')]",4.85,9.3,95,['Role-playing (RPG)'],['Behind view'],['Japanese-style RPG (JRPG)'],"['Direct control', 'Menu structures']","['Asia', 'Contemporary', 'Fantasy']",Mature,"['Blu-Ray Disc', 'Download']",['Gamepad'],[],1,NG,/
174989,Elden Ring,2022/02/25,"[('FromSoftware, Inc.', '2348')]","[('FromSoftware, Inc.', '2348'), ('BANDAI NAMCO Entertainment Inc.', '7988')]",4.46,9.3,95,['Role-playing (RPG)'],['Behind view'],"['Action RPG', 'Hack and slash', 'Sandbox / open world']",['Direct control'],['Fantasy'],16,['Download'],"['Gamepad', 'Keyboard', 'Mouse']",['Internet'],1,2-4,/
203119,The Legend of Zelda: Tears of the Kingdom,2023/05/12,"[('Nintendo EPD', '24437')]","[('Nintendo Co., Ltd.', '1891')]",4.46,9.3,95,['Action'],['Behind view'],"['Puzzle elements', 'RPG elements', 'Sandbox / open world']",['Direct control'],['Fantasy'],Everyone 10+,"['Download', 'Game Card']","['Joy-Con', 'Nintendo Switch Pro Controller', 'Touch Screen']",[],NG,NG,/
199460,Metroid Prime: Remastered,2023/02/08,"[('Retro Studios Inc.', '3261')]","[('Nintendo Co., Ltd.', '1891')]",4.29,9.3,95,['Action'],['1st-person'],['Metroidvania'],['Direct control'],['Sci-fi / futuristic'],Teen,"['Download', 'Game Card']","['Joy-Con', 'Nintendo Switch Pro Controller', 'Touch Screen']",[],NG,NG,/
195074,God of War: Ragnar\u00f6k,2022/11/09,"[('SIE Santa Monica Studio', '6129')]","[('Sony Interactive Entertainment America LLC', '2334')]",3.92,9.2,94,['Action'],['Behind view'],"['Hack and slash', 'Puzzle elements', 'RPG elements']",['Direct control'],['Fantasy'],C (Adultos +18 Años),['Download'],[],[],1,NG,/
31282,Super Mario Galaxy,2007/11/01,"[('Nintendo EAD', '1942')]","[('Nintendo Co., Ltd.', '1891')]",4.25,9.2,96,['Action'],['Behind view'],"['Platform', 'Puzzle elements']","['Direct control', 'Motion control']","['Fantasy', 'Sci-fi / futuristic']",Everyone,['Wii Optical Disc'],"['Nunchuk', 'Wii Remote']",[],1-2,NG,/
78748,Uncharted 4: A Thief\u0027s End,2016/05/10,"[('Naughty Dog, Inc.', '1190')]","[('Sony Interactive Entertainment America LLC', '2334'), ('Sony Computer Entertainment Europe Ltd.', '1277')]",4.58,9.2,94,['Action'],['Behind view'],"['Puzzle elements', 'Shooter', 'Stealth']",[],[],Teen,"['Blu-Ray Disc', 'Download']",[],['Internet'],1,2-10,/
200900,Resident Evil 4,2023/03/24,"[('Capcom Co., Ltd.', '3955')]","[('Capcom Co., Ltd.', '3955')]",4.44,9.1,92,['Action'],['Behind view'],"['Shooter', 'Survival horror']",['Direct control'],"['Contemporary', 'Europe', 'Fantasy']",NG,[],[],[],NG,NG,/
51904,The Legend of Zelda: Ocarina of Time 3D,2011/06/16,"[('Grezzo Co., Ltd.', '17299'), ('Nintendo EAD', '1942')]","[('Nintendo Co., Ltd.', '1891')]",4.23,9.1,95,['Action'],['Behind view'],"['Metroidvania', 'Puzzle elements']",[],['Fantasy'],Everyone 10+,"['Download', 'Nintendo 3DS Game Card']",['Stylus'],[],1,NG,/
46697,Super Mario Galaxy 2,2010/05/23,"[('Nintendo EAD', '1942')]","[('Nintendo Co., Ltd.', '1891')]",4.3,9.1,97,['Action'],['3rd-person (Other)'],"['Platform', 'Puzzle elements']","['Direct control', 'Motion control']","['Fantasy', 'Sci-fi / futuristic']",Everyone,['Wii Optical Disc'],"['Nunchuk', 'Wii Remote']",[],1-2,NG,/
122190,Hades,2018/12/06,"[('Supergiant Games, Inc.', '15126')]","[('Supergiant Games, Inc.', '15126'), ('Netflix Inc.', '26326')]",4.42,9.1,94,['Role-playing (RPG)'],['Diagonal-down'],"['Action RPG', 'Hack and slash', 'Roguelike']",['Direct control'],"['Classical antiquity', 'Fantasy']",NG,[],[],[],NG,NG,/
