id_razvijalca,id_igre
96127,24437
150689,3377
84595,24437
141836,29077
174989,2348
203119,24437
199460,3261
195074,6129
31282,1942
78748,1190
200900,3955
51904,17299
51904,1942
46697,1942
122190,15126
86408,29077
42918,1190
51233,126
52872,4066
62942,1942
193990,29077
70372,10323
59294,20199
50427,885
115902,48
115902,34540
115902,3489
115902,2606
115902,146
115902,188
115902,7189
217980,58841
87551,1942
216560,18183
52226,3036
24246,5610
73001,10445
107419,6129
203910,3955
55403,8364
30577,126
210462,24437
120555,3955
46614,188
141485,3613
218917,43377
115729,29256
115729,25898
115729,46718
110476,8050
110476,22913
27089,6129
38697,154
84194,27035
24117,278
33397,7657
18696,9642
22361,3419
60922,1190
216563,22913
216563,1995
59026,6354
25103,1942
55167,10022
95966,3377
37535,11459
42180,3261
72089,2348
42258,8364
25761,154
33378,8050
33378,29
62275,146
62785,1942
67674,1190
64620,6245
64620,2620
11216,78
34773,6811
174940,17663
161320,32296
143668,126
7783,3261
29294,9642
21633,6811
52057,1477
210733,1981
188601,3036
47486,21
45664,6129
149407,5191
113066,1981
42472,2757
101142,21433
39411,2757
24865,2757
52918,154
6627,2605
6627,5595
19812,2757
56174,8364
21652,93
21652,6247
21652,4310
21652,7692
170037,6201
194057,51851
39788,3489
39788,146
198497,18380
78064,9703
10162,2156
77737,2348
53708,1942
30479,110
190774,1190
44900,885
53511,1942
40888,3312
172841,5615
172841,24437
20162,7114
19412,2014
6613,1891
30817,1981
45585,9642
146798,1190
5870,8856
17344,6129
32021,2757
29958,3261
166282,1981
48914,2757
15623,2031
7248,6679
19710,4
39354,3558
39354,3955
153477,13948
153477,6130
81134,25898
81134,29256
80992,30690
15735,4352
5933,2048
7300,6679
7300,1891
7300,1942
74464,17299
142015,23201
3549,1942
29886,10129
29886,1581
224693,2605
52419,11459
47408,3955
47408,3558
19271,2605
19875,9677
113492,2348
14152,2048
20164,1942
155,126
9610,2605
16619,3419
51611,10445
210927,164
172725,6811
3556,1120
209564,54548
216878,29077
223654,60241
150140,1790
150140,15283
53890,2605
136046,38491
79643,15778
169624,2011
23801,2002
115348,20616
198508,29116
14831,1687
102905,13948
102905,6130
2465,885
21692,28638
8725,1942
17870,2108
33867,146
115141,43376
53611,1190
121476,3955
5899,6679
5899,1891
178917,3312
50244,3178
31074,4182
7353,2048
72146,23201
43958,3576
199777,12831
158999,24437
21550,78
6591,1891
210676,55377
84102,10323
25505,7114
5163,2031
3646,1973
143581,61
74669,1942
3550,1942
186311,50058
186311,26634
65975,1942
43158,1981
44546,6770
44546,2233
207900,32322
73287,2031
74052,23752
111565,29125
111565,29126
194426,5203
124242,19682
61532,1942
9237,2014
35529,11800
4268,1942
195171,41707
19356,1687
96620,29869
37114,2002
73144,6251
18299,3407
67038,21789
101948,3955
112809,18183
77813,27728
77813,6201
3728,1120
39623,1477
59677,13441
18194,62
30617,126
5211,4352
53156,2048
53156,15064
1404,240
31277,885
23761,7988
23761,1043
196112,9996
54684,12
180055,1477
176849,1190
122188,3613
122188,10029
49434,3576
42684,4340
39287,10022
67805,21
173968,24597
16009,3955
6602,1891
12679,1891
7525,1190
163431,1434
67173,17584
10751,2002
7662,281
205088,3955
112181,8880
15574,3261
219115,9703
198390,52951
3909,1993
81684,17663
